ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
6,0.021,0.9727,-0.2134,0.1793,0.05531,0.05913,0.17459,0.22687,0.74064,0.60787,0.003799,-0.006973,-0.01335,-1307049263,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.0009766,0.9653,-0.1807,-0.0248,0.1659,-0.1125,0.50759,0.6075,0.46865,0.392,-0.001465,-0.0188,-0.003281,-1307078809,126
9,0.01221,0.9854,-0.1245,0,-0.01717,-0.04959,0.4488,0.51529,0.54634,0.48432,0.003479,-0.006378,0.00354,-1307606934,70
10,-0.007813,0.9697,-0.2192,-0.1698,0.1144,-0.03242,0.60007,0.74695,0.22759,0.17372,0.005814,-0.005783,0.0002441,-1307890958,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.006348,0.9629,-0.1494,0.06104,0.2098,-0.09918,7.95,-34.35,-3.75,0.60778,0.7191,0.2572,0.2177,-1307375444,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.009277,0.9648,-0.2412,-0.1698,-0.2174,-0.05531,-2.4,-38.25,14.7,0.073975,0.0857,-0.7865,-0.6071,-1307695789,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.008301,0.9751,-0.1631,-0.164,0.07439,0.06485,0.50962,0.59641,0.47226,0.40194,0.01021,-0.01242,-0.005615,-1307274539,68
6,0.021,0.9858,-0.1904,0.2403,0.05531,0.1812,0.17386,0.22621,0.74086,0.60805,0.003525,0.006241,0.009674,-1306970991,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.009766,0.9639,-0.1646,-0.0248,0.4101,-0.3567,0.50713,0.60708,0.46926,0.39252,0.009155,-0.02025,0.01294,-1307000545,126
