ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2275,0.9614,-0.02441,0.03815,1.509,0.7896,29.22,-20.211,6.5309,0.48174,0.3659,0.6161,0.5044,-857367548,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03223,0.9849,-0.05273,0.37,-0.3452,0.2689,0.43146,0.4828,0.54724,0.53035,-0.007645,-0.01221,0.01242,-856537479,68
6,0.08301,0.9697,-0.1196,-0.7191,0.1831,-0.2575,0.17179,0.25386,0.70501,0.63954,0.0005341,-0.01924,0.003342,-856546263,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.07861,0.9741,0.03418,-0.2193,0.4845,0.3014,0.44578,0.39063,0.57965,0.55919,0.001312,-0.02242,0.01135,-856769637,126
9,-0.4282,0.897,-0.05273,0.1583,-2.642,0.5627,0.55364,0.35103,0.63493,0.40881,-0.01218,-0.01083,-1.526e-05,-857311042,70
10,0.2432,0.9436,-0.2795,-1.701,-2.121,-0.04387,0.0020153,-0.19755,-0.77616,-0.59879,0.003464,0.01489,0.003357,-857104601,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2808,0.9526,-0.02441,-0.1011,2.054,0.2785,-6.6862,-31.569,24.283,0.03766,-0.1725,-0.6965,-0.6955,-856908194,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2378,0.9673,-0.05518,-0.08392,-2.153,1.034,28.47,-21.261,8.6308,0.48138,0.3657,0.6164,0.5045,-857298984,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04346,0.9863,-0.06592,0.003815,-0.04005,0.1469,0.43149,0.48276,0.54715,0.53045,0.003494,-0.01076,-0.001038,-856477491,68
6,0.09619,0.9917,-0.1211,0.01335,0.2441,-0.1354,0.17138,0.25341,0.70504,0.63979,0.0136,0.002701,0.001511,-856456357,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.07227,0.9785,0.02539,-0.5245,-0.003815,0.2403,0.44636,0.39099,0.57922,0.55893,0.007736,-0.01801,0.002136,-856709541,126
9,-0.4282,0.897,-0.05273,0.1583,-2.642,0.5627,0.55364,0.35103,0.63493,0.40881,-0.01218,-0.01083,-1.526e-05,-857311042,70
10,0.2573,0.95,-0.2854,-0.6027,-3.403,0.1392,0.0015665,-0.19802,-0.77601,-0.59883,0.01775,0.02119,-0.002579,-857092809,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2749,0.9199,-0.02148,-0.6504,2.359,-0.08774,-3.3955,-34.262,23.081,0.037438,-0.1726,-0.6963,-0.6957,-856878686,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2075,0.9565,-0.02393,-1.183,-2.947,0.4234,29.07,-21.861,6.6808,0.48274,0.3675,0.6146,0.5041,-857186997,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04297,0.9868,-0.05713,0.5531,-0.1621,0.5131,0.43151,0.48274,0.54705,0.53056,0.002853,-0.01028,0.007477,-856390712,68
6,0.08057,0.9844,-0.1089,0.07439,0.3052,-0.01335,0.17066,0.25258,0.70522,0.64011,-0.002075,-0.004669,0.0134,-856359437,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.08301,0.9902,0.03223,-0.2193,-0.6752,0.4845,0.44671,0.39122,0.57879,0.55893,-0.00322,-0.006287,0.008331,-856617861,126
9,-0.4028,0.9058,-0.04736,0.5856,0.9594,-1.39,0.55595,0.35215,0.63344,0.40702,0.01483,-0.001434,0.003143,-857158619,70
10,0.251,0.9543,-0.2947,-0.4807,-3.036,0.4444,0.0014183,-0.19824,-0.77603,-0.59873,0.0114,0.02565,-0.01163,-857074566,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2852,0.936,-0.02002,0.08202,2.115,-0.2708,-5.6455,-31.112,24.281,0.037833,-0.1722,-0.6963,-0.6957,-856858199,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2075,0.9565,-0.02393,-1.183,-2.947,0.4234,29.07,-21.861,6.6808,0.48274,0.3675,0.6146,0.5041,-857186997,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04785,0.9961,-0.05615,-0.05722,-0.1621,0.1469,0.43141,0.48283,0.54694,0.53068,0.007309,-0.0009918,0.008392,-856330821,68
6,0.07471,0.9814,-0.1182,-0.658,0.1221,-0.1965,0.17039,0.25201,0.70527,0.64035,-0.00769,-0.007675,0.003677,-856289530,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.07764,0.9741,0.03223,-0.1583,-0.1869,0.1793,0.44707,0.39152,0.5785,0.55873,0.002121,-0.0224,0.008133,-856589618,126
9,-0.3975,0.9199,-0.05322,-0.5131,-1.177,1.417,0.55563,0.35223,0.63343,0.40741,0.01945,0.01239,-0.002625,-857050966,70
10,0.2549,0.9319,-0.3127,-0.1144,-0.9613,1.177,0.0016148,-0.19871,-0.77611,-0.59847,0.01454,0.003586,-0.02907,-857005160,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2739,0.9224,-0.0293,-0.3452,0.3452,-0.08774,-5.7955,-31.712,23.381,0.038827,-0.1709,-0.6965,-0.6959,-856788071,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2339,0.9609,-0.02393,-0.8774,-2.581,0.5455,28.47,-19.161,6.8309,0.48301,0.3677,0.6143,0.5041,-857173715,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04297,0.98,-0.05615,0.06485,0.3262,0.0248,0.43147,0.48277,0.5468,0.53083,0.002289,-0.01712,0.007965,-856240715,68
6,0.08203,0.9858,-0.1133,0.6847,-0.1221,-0.1965,0.17055,0.25207,0.70503,0.64055,-0.0003967,-0.003342,0.00795,-856149414,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.06738,0.981,0.0293,0.0248,-0.1869,0.3014,0.44715,0.39144,0.57836,0.55887,0.01233,-0.01555,0.004745,-856509646,126
9,-0.4189,0.9023,-0.04053,-1.429,-0.3834,2.15,0.55587,0.35297,0.63238,0.40807,-0.003967,-0.006165,0.008453,-856990433,70
10,0.2466,0.9402,-0.2957,-0.05341,-0.7172,1.177,0.0017177,-0.19862,-0.77614,-0.59845,0.006195,0.0119,-0.01195,-856994586,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.3062,0.9404,-0.02246,-0.1011,0.2842,-0.515,-6.2455,-32.162,24.131,0.038792,-0.171,-0.6964,-0.6959,-856738063,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2095,0.9756,-0.01904,-1.122,0.04387,-0.8583,28.77,-22.911,6.3808,0.48471,0.3684,0.6126,0.504,-857061855,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03857,0.9849,-0.05176,0.06485,0.02098,-0.03624,0.43148,0.48275,0.54662,0.53102,-0.002411,-0.01225,0.01193,-856120805,68
6,0.08203,0.9888,-0.1108,0.7458,-0.3052,-0.2575,0.17241,0.25416,0.70421,0.64013,-0.0005188,-0.0004272,0.01019,-856069445,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.07959,0.9805,0.03418,0.0248,-0.309,0.1183,0.44741,0.39165,0.57808,0.5588,-1.526e-05,-0.01604,0.009338,-856417432,126
9,-0.415,0.9048,-0.05078,-0.7572,-0.6275,1.6,0.55572,0.35326,0.63156,0.40928,-0.002258,-0.004807,-0.003448,-856910359,70
10,0.2603,0.9514,-0.2986,-0.4196,-0.8392,1.421,0.0019265,-0.19899,-0.77611,-0.59837,0.01913,0.02338,-0.01468,-856952854,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2729,0.9297,-0.03125,0.2651,2.665,-1.736,-5.4955,-31.412,24.131,0.039731,-0.1696,-0.6965,-0.6961,-856688104,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.209,0.9624,-0.01416,-0.5112,0.6542,-0.9193,28.92,-20.961,6.2309,0.48479,0.3682,0.6126,0.5041,-857033855,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03076,0.9917,-0.05371,0.1869,-0.3452,0.0248,0.43155,0.48268,0.54641,0.53125,-0.01047,-0.005447,0.009384,-855988987,68
6,0.08008,0.9888,-0.124,0.2575,-0.06104,0.2308,0.17249,0.25407,0.70408,0.64029,-0.002365,-0.0005035,-0.003448,-855989414,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.06689,0.9771,0.01855,-0.03624,-0.003815,0.6065,0.44692,0.39092,0.57823,0.55955,0.01248,-0.01945,-0.007095,-856297299,126
9,-0.4175,0.9009,-0.04834,0.3414,0.5932,0.5016,0.5556,0.35319,0.63127,0.40996,-0.005615,-0.009171,-0.001846,-856800996,70
10,0.251,0.9417,-0.2966,-0.1755,-0.2289,0.7496,0.0023087,-0.19888,-0.77615,-0.59835,0.009399,0.01375,-0.01268,-856915161,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2817,0.9365,-0.02686,0.2041,0.2232,-1.308,-5.6455,-33.062,24.281,0.039928,-0.1685,-0.6967,-0.6961,-856638109,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2061,0.9761,-0.01172,-0.5722,-1.726,0.6065,28.47,-21.711,5.7809,0.48495,0.3685,0.6122,0.5042,-856948849,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.05029,0.9824,-0.05127,0.37,0.2651,-0.09727,0.4316,0.48263,0.54631,0.53135,0.008987,-0.01474,0.01152,-855930825,68
6,0.07178,0.9844,-0.1162,-0.8411,0.1221,-0.3796,0.17264,0.25408,0.70393,0.6404,-0.01057,-0.004944,0.003952,-855919539,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.08594,0.9604,0.03809,-0.4635,-0.309,0.4234,0.44675,0.39073,0.57809,0.55996,-0.006989,-0.03607,0.01181,-856177933,126
9,-0.4194,0.8999,-0.04932,0.3414,-0.1392,0.5627,0.55554,0.35302,0.63133,0.4101,-0.007523,-0.01013,-0.002914,-856780478,70
10,0.252,0.9417,-0.2854,-0.2365,2.518,0.0782,0.0029147,-0.19837,-0.77619,-0.59847,0.009995,0.01376,-0.001755,-856864633,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2754,0.9517,-0.03369,0.2651,1.383,-0.2708,-5.1955,-31.112,24.281,0.040143,-0.1676,-0.6969,-0.6962,-856568228,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2168,0.9683,-0.009277,0.4654,-1.238,1.522,29.37,-21.111,6.3808,0.48329,0.3691,0.6116,0.5061,-856781830,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04346,0.98,-0.05762,0.248,0.02098,0.33,0.43169,0.48253,0.54616,0.53152,0.00206,-0.01721,0.004654,-855861320,68
6,0.08008,0.9888,-0.127,0.1965,-0.3662,-0.3796,0.17355,0.25484,0.70354,0.64029,-0.00206,-0.0006104,-0.007126,-855839521,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.06445,0.9785,0.03662,-0.03624,-0.309,0.2403,0.44706,0.39104,0.57769,0.55991,0.01418,-0.01802,0.009903,-856107453,126
9,-0.4053,0.9092,-0.04834,0.03624,1.081,0.5016,0.55525,0.35295,0.63143,0.41038,0.006241,-0.001022,-0.00177,-856681005,70
10,0.2373,0.949,-0.2937,-0.5417,0.9308,-0.4101,0.0032494,-0.19791,-0.77618,-0.59863,-0.004684,0.02097,-0.01044,-856795130,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2798,0.9448,-0.02979,0.1431,-0.8144,-0.4539,-5.7897,-30.214,22.933,0.040357,-0.167,-0.6969,-0.6963,-856388814,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2251,0.9673,-0.01758,-0.3891,-0.5665,1.034,28.77,-19.611,5.9308,0.48333,0.3695,0.6112,0.5062,-856738942,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04492,0.9785,-0.07031,0.9193,-0.2232,0.0248,0.43165,0.48257,0.54599,0.5317,0.003113,-0.01868,-0.008362,-855768979,68
6,0.09033,0.9844,-0.125,0.3796,0.06104,0.1087,0.17437,0.25569,0.70322,0.64008,0.00824,-0.00502,-0.005203,-855770003,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.06592,0.9702,0.04932,-0.2804,-0.1259,0.2403,0.44702,0.39095,0.57753,0.56016,0.01244,-0.02634,0.02209,-856037364,126
9,-0.4219,0.9023,-0.06494,-0.6351,-2.031,0.9289,0.55514,0.35265,0.63152,0.41065,-0.01031,-0.007858,-0.01857,-856640378,70
10,0.2271,0.9358,-0.2859,-0.1755,0.5646,-0.288,0.0031659,-0.19785,-0.77618,-0.59865,-0.01476,0.007721,-0.00267,-856764567,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2891,0.9463,-0.03223,0.7534,-0.6924,0.2785,-6.5397,-32.164,24.133,0.039943,-0.1673,-0.6971,-0.6961,-856258780,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2222,0.9712,-0.02637,-0.08392,1.02,0.5455,28.92,-22.461,6.5309,0.48291,0.3692,0.6113,0.5068,-856556884,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04248,0.9814,-0.05762,0.4311,-0.1621,0.33,0.43164,0.48257,0.54589,0.5318,0.0004883,-0.01575,0.00412,-855698982,68
6,0.0957,0.9883,-0.1211,0.7458,-0.1221,-0.3185,0.17543,0.25663,0.70273,0.63995,0.01381,-0.001175,-0.001709,-855690014,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.06738,0.9746,0.03613,0.2079,-0.4311,0.1183,0.44729,0.39138,0.57711,0.56009,0.01048,-0.02197,0.008606,-855975658,126
9,-0.417,0.9009,-0.04785,-1.368,-1.299,1.051,0.55545,0.35289,0.63097,0.41089,-0.006042,-0.009644,-0.002548,-856598663,70
10,0.2354,0.9441,-0.2932,-0.4196,1.48,-1.265,0.0040278,-0.19635,-0.77637,-0.59891,-0.006088,0.01575,-0.01062,-856644701,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
