ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.03223,0.9736,0.02197,-1.173,-1.219,2.007,0.16794,0.15038,0.6977,0.67999,-0.002396,-0.02574,0.04079,-817532623,126
9,-0.3511,0.8955,-0.0752,-14.18,27.2,3.065,0.43359,0.27109,0.68067,0.52459,-0.04521,-0.05371,-0.001587,-818121303,70
10,0.02832,1.014,-0.241,4.829,-0.5951,-0.1049,0.32723,0.32808,-0.7238,-0.51127,-0.1099,0.05959,0.02208,-818146176,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.3477,0.9053,0.1294,12.11,47.77,8.335,-25.038,-32.115,14.555,0.32841,0.1694,-0.6815,-0.6316,-818546947,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.2134,0.9878,-0.08496,-23.34,36.85,-2.934,24.914,-24.708,22.448,0.32051,0.2892,0.6959,0.5738,-818083735,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.05078,0.979,-0.08398,0.05913,-0.02289,2.728,0.23585,0.28748,0.67054,0.64196,-0.002014,-0.0175,-0.01945,-817396280,68
6,0.08545,0.9917,-0.1255,2.926,1.627,0.02289,0.052958,-0.0003839,-0.74812,-0.66144,0.005722,0.002075,-0.006104,-817454837,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.01074,0.9731,-0.008301,-1.417,2.565,2.678,0.16565,0.15,0.69687,0.68149,0.01569,-0.02637,0.007965,-817452622,126
9,-0.3452,0.9429,-0.01123,-21.27,48.26,11.37,0.41362,0.25322,0.68137,0.54821,-0.05917,-0.01366,0.04555,-818021287,70
10,-0.0127,1.05,-0.28,-0.8469,-24.22,-3.462,0.31487,0.3226,-0.72826,-0.51617,-0.1383,0.0946,-0.01115,-818066106,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.3198,0.8989,0.1216,12.41,52.53,6.87,-25.038,-32.115,14.555,0.33189,0.1717,-0.6806,-0.6302,-818536798,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1509,0.9004,-0.08936,-18.09,24.95,1.949,24.614,-24.408,21.998,0.31438,0.2735,0.6938,0.5874,-818026363,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.03906,0.9976,-0.0708,0.05913,-2.342,2.666,0.2352,0.28941,0.67021,0.64167,-0.01707,0.001312,-0.004913,-817306385,68
6,0.1118,0.9893,-0.1226,-0.7362,0.5283,-0.1602,0.048694,-0.0075217,-0.74924,-0.66046,0.02893,0.0003204,0.0002899,-817334202,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.001465,0.9766,0.02393,-2.272,1.772,3.288,0.16363,0.15005,0.69513,0.68374,0.02376,-0.02312,0.03539,-817372649,126
9,-0.3657,0.9067,-0.01318,-15.41,35.87,9.535,0.39965,0.24039,0.68247,0.56279,-0.09079,-0.05356,0.03392,-817961807,70
10,0.05615,0.9714,-0.3142,-0.8469,-90.32,4.961,0.29473,0.31377,-0.734,-0.52528,-0.04688,0.01537,-0.03978,-818016684,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1963,1.024,0.07715,15.77,24.21,-4.055,-26.974,-31.059,13.963,0.40157,0.2496,-0.6575,-0.5867,-818336420,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1226,0.9287,-0.1094,-19.62,29.95,4.452,25.664,-26.208,21.998,0.30537,0.2624,0.6918,0.5994,-817957751,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0376,0.9819,-0.06689,-0.7343,-0.206,2.056,0.23453,0.29059,0.66974,0.64188,-0.02129,-0.01414,-0.0009155,-817236887,68
6,0.1206,0.9819,-0.1162,-2.262,-0.1431,0.9384,0.045807,-0.012075,-0.74902,-0.66086,0.03604,-0.006927,0.006134,-817244812,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.0127,0.9814,0.01758,-3.309,2.26,2.495,0.16247,0.15069,0.69341,0.68563,0.005997,-0.01834,0.02463,-817302742,126
9,-0.3262,0.9272,0.008789,-0.452,-13.2,-1.513,0.39848,0.22803,0.68253,0.56866,-0.04158,-0.03072,0.04448,-817801858,70
10,0.1201,0.9373,-0.364,-2.007,-16.89,3.74,0.27437,0.2817,-0.73629,-0.55068,0.02634,-0.02823,-0.1211,-817816113,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.08301,0.9814,0.02246,5.819,2.115,-1.614,-28.324,-29.409,12.763,0.40698,0.2717,-0.6517,-0.5795,-818216507,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1226,0.9287,-0.1094,-19.62,29.95,4.452,25.664,-26.208,21.998,0.30537,0.2624,0.6918,0.5994,-817957751,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.05029,0.9883,-0.0752,-0.7954,0.8316,1.263,0.23308,0.29088,0.66971,0.6423,-0.01117,-0.007614,-0.008942,-817166257,68
6,0.1143,0.98,-0.1177,-2.323,-3.134,-0.9537,0.042732,-0.016741,-0.74761,-0.66255,0.0282,-0.009232,0.0007324,-817164840,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.008301,0.9712,-0.003418,-3.431,2.077,2.129,0.16025,0.15009,0.6911,0.6886,0.0065,-0.02869,-0.003113,-817220941,126
9,-0.3042,0.9575,0.03857,-2.771,-21.44,-2.123,0.4062,0.23123,0.67769,0.56768,-0.01616,0.0002441,0.06404,-817741209,70
10,0.1396,0.9436,-0.3479,8.064,-7.858,3.923,0.2704,0.27766,-0.74094,-0.54844,0.04352,-0.01929,-0.0957,-817764426,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.29,0.9233,0.02734,-4.007,-10.82,-8.633,-28.474,-31.509,13.663,0.38006,0.2597,-0.659,-0.5948,-818006428,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.08154,0.9634,-0.0376,-10.09,21.16,12.69,22.064,-28.458,21.398,0.29559,0.2551,0.6901,0.6094,-817887657,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.08301,0.9771,-0.09717,-0.8564,1.564,0.4692,0.23213,0.29073,0.66981,0.64261,0.02032,-0.01877,-0.03082,-817096393,68
6,0.1289,0.9829,-0.1108,-2.384,-2.645,-1.015,0.039317,-0.021444,-0.74672,-0.66363,0.04175,-0.00647,0.00528,-817084841,52
